epoch,hyperbolic_krum_loss
0,1.816716297464322
1,1.5411740282192907
2,1.3698283853340956
3,1.2520292157789468
4,1.167400719049345
5,1.1041553537869417
6,1.0550055743721856
7,1.0139320243149421
8,0.9812427156319163
9,0.9529438307623034
10,0.9299760881991808
11,0.9095953127043999
12,0.8914124217331804
13,0.8760486713335013
14,0.8624582788026591
15,0.8482341566258819
16,0.8362667507447169
17,0.8251421427038172
18,0.8145512553114345
19,0.8056317521684044
20,0.7976998850349184
21,0.7885102030705764
22,0.7818496968123477
23,0.7748306046617303
24,0.7690535248968206
25,0.7620344962699841
26,0.7564543995212151
27,0.7511266566156809
28,0.7452775381677987
29,0.7403508518019809
30,0.7362821280723708
31,0.7318974158069448
32,0.726909772845112
33,0.7226880736235781
34,0.7188358494948689
35,0.7158582453167689
36,0.7112195836398173
37,0.7083550257455231
38,0.7045411949829733
39,0.7010839186775271
40,0.6983907551906262
41,0.6955936900516267
42,0.6927241227432418
43,0.6893728295412381
44,0.686695500644951
45,0.6840791608122361
46,0.6814112211225202
47,0.6793008956048724
48,0.67678671823125
49,0.6747948577049354
50,0.6719302710693974
51,0.6697686143834976
52,0.6679912014873959
53,0.6659593927528356
54,0.6636445732663245
55,0.6620543759424349
56,0.659600271949828
57,0.6581277794661672
58,0.6565794343501319
59,0.6548033331534542
60,0.6531125381381042
61,0.6512556817457106
62,0.6504911637839178
63,0.6479855360341786
64,0.6466564834342808
65,0.6446915137093816
66,0.6431116209979921
67,0.6413847224798711
68,0.6399436320942808
69,0.638839415285993
70,0.6371991187179025
71,0.6357094188476791
72,0.6349355445204096
73,0.633549338115882
74,0.6329926337419085
75,0.6311330641654693
76,0.629785934684049
77,0.6288724797339494
78,0.6281557635836452
79,0.6266893680081304
80,0.6256667493190019
81,0.6248452864631788
82,0.6230392446903832
83,0.621657198847235
84,0.6204468528585614
85,0.6193205399039143
86,0.6180800425258265
87,0.6168873979991775
88,0.6157970873962686
89,0.6152140139068246
90,0.6139603536704553
91,0.6132731068477087
92,0.6121617901397775
93,0.6114876568807464
94,0.6116128011429957
95,0.61030934020408
96,0.6085909239495227
97,0.6076042783236125
98,0.6066567732592355
99,0.6063059216064636
100,0.6056742741947055
101,0.6048130861965217
102,0.6036715780469063
103,0.6033066536847739
104,0.6026264841803772
105,0.6019300925605876
106,0.6015235259826289
107,0.5999599728211714
108,0.5992029507061815
109,0.5984133989048623
110,0.5981654113913039
111,0.5969312299901696
112,0.5964044672135332
113,0.5963201535676175
114,0.5952612591798685
115,0.5943910286275511
116,0.5939692331071089
117,0.593575481812737
118,0.5926919176023219
119,0.5913911083188861
120,0.5907561906367276
121,0.5902158181215376
122,0.5894458079855119
123,0.5889736416332096
124,0.5885075261570641
125,0.5874590438472734
126,0.5879192491755358
127,0.5870180935876184
128,0.5867131959248815
129,0.5857118987347515
130,0.5850996776458955
131,0.5840734144930239
132,0.583232392098744
133,0.583220332857306
134,0.5824656498054772
135,0.5822543332715415
136,0.5817715255640417
137,0.5806965101110083
138,0.5804598957065803
139,0.5798246354578398
140,0.5796652051775188
141,0.5789502315013357
142,0.5780214711684606
143,0.5778223289518649
144,0.5767852682174762
