dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.2,1.0,add_noise,32,90.57065217391305,90.01085776330075,90.40760869565217,90.01085776330075,90.46195652173913,89.46796959826275,90.92391304347827,90.22801302931596,91.7663043478261,90.98805646036917
spambase,0.2,10.0,add_noise,32,90.32608695652173,89.68512486427795,90.65217391304347,90.22801302931596,90.43478260869566,89.46796959826275,90.95108695652175,90.22801302931596,91.79347826086956,91.09663409337676
spambase,0.2,100.0,add_noise,32,88.80434782608695,87.18783930510315,90.40760869565217,90.01085776330075,90.3804347826087,89.35939196525516,91.0054347826087,90.33659066232356,91.82065217391305,91.09663409337676
spambase,0.2,200.0,add_noise,32,86.60326086956522,87.94788273615634,90.40760869565217,90.01085776330075,90.40760869565217,89.46796959826275,90.84239130434783,90.11943539630836,91.79347826086956,91.20521172638436
spambase,0.2,0.01,add_noise,64,90.40760869565217,89.90228013029315,90.40760869565217,89.79370249728555,90.27173913043478,89.46796959826275,90.48913043478261,90.11943539630836,91.08695652173913,90.44516829533116
spambase,0.2,0.1,add_noise,64,90.48913043478261,90.01085776330075,90.40760869565217,89.79370249728555,90.19021739130434,89.35939196525516,90.40760869565217,90.22801302931596,91.08695652173913,90.22801302931596
spambase,0.2,1.0,add_noise,64,90.19021739130434,89.68512486427795,90.40760869565217,89.79370249728555,90.21739130434783,89.35939196525516,90.32608695652173,90.01085776330075,91.11413043478261,90.33659066232356
spambase,0.2,10.0,add_noise,64,89.89130434782608,89.03365906623235,90.40760869565217,89.79370249728555,90.2445652173913,89.35939196525516,90.3804347826087,89.90228013029315,91.08695652173913,90.22801302931596
spambase,0.2,100.0,add_noise,64,88.23369565217392,86.86210640608036,90.43478260869566,89.79370249728555,90.19021739130434,89.35939196525516,90.48913043478261,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.2,200.0,add_noise,64,87.66304347826087,87.40499457111835,90.43478260869566,89.79370249728555,90.21739130434783,89.25081433224756,90.3804347826087,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.2,0.01,add_noise,128,90.2445652173913,89.57654723127035,90.19021739130434,89.57654723127035,90.16304347826087,89.25081433224756,90.32608695652173,89.35939196525516,90.89673913043478,90.33659066232356
spambase,0.2,0.1,add_noise,128,90.13586956521739,89.68512486427795,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.3804347826087,89.35939196525516,90.92391304347827,90.44516829533116
spambase,0.2,1.0,add_noise,128,90.19021739130434,89.57654723127035,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.48913043478261,89.46796959826275,90.92391304347827,90.44516829533116
spambase,0.2,10.0,add_noise,128,89.72826086956522,89.68512486427795,90.19021739130434,89.46796959826275,90.13586956521739,89.25081433224756,90.43478260869566,89.46796959826275,90.8695652173913,90.33659066232356
spambase,0.2,100.0,add_noise,128,87.20108695652173,86.10206297502715,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.46195652173913,89.25081433224756,90.81521739130434,90.33659066232356
spambase,0.2,200.0,add_noise,128,88.53260869565217,88.81650380021715,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.40760869565217,89.35939196525516,90.81521739130434,90.44516829533116
spambase,0.2,0.0,ipm_attack,16,90.67934782608695,90.11943539630836,90.95108695652175,90.22801302931596,89.10326086956522,88.27361563517914,90.02717391304348,90.33659066232356,90.84239130434783,90.66232356134635
