dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,hyperbolic_krum_train_accuracy,hyperbolic_krum_test_accuracy
spambase,0.1,0.0,ipm_attack,64,89.83695652173913,89.25081433224756
spambase,0.1,0.0,ipm_attack,128,89.42934782608695,88.27361563517914
spambase,0.2,0.01,add_noise,16,90.32608695652173,90.33659066232356
spambase,0.2,0.1,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.2,1.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.2,10.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.2,100.0,add_noise,16,90.48913043478261,90.33659066232356
spambase,0.2,200.0,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.2,0.01,add_noise,32,90.48913043478261,90.22801302931596
spambase,0.2,0.1,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.2,1.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.2,10.0,add_noise,32,90.40760869565217,90.22801302931596
spambase,0.2,100.0,add_noise,32,90.43478260869566,90.01085776330075
spambase,0.2,200.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.2,0.01,add_noise,64,89.94565217391305,89.25081433224756
spambase,0.2,0.1,add_noise,64,89.80978260869566,89.35939196525516
spambase,0.2,1.0,add_noise,64,89.97282608695653,89.14223669923996
spambase,0.2,10.0,add_noise,64,89.97282608695653,89.25081433224756
spambase,0.2,100.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.2,200.0,add_noise,64,89.97282608695653,89.25081433224756
spambase,0.2,0.01,add_noise,128,89.61956521739131,88.27361563517914
spambase,0.2,0.1,add_noise,128,89.4836956521739,88.49077090119435
spambase,0.2,1.0,add_noise,128,89.51086956521739,88.38219326818675
spambase,0.2,10.0,add_noise,128,89.61956521739131,88.38219326818675
spambase,0.2,100.0,add_noise,128,89.64673913043478,88.59934853420195
spambase,0.2,200.0,add_noise,128,89.59239130434783,88.27361563517914
spambase,0.2,0.0,ipm_attack,16,89.51086956521739,89.90228013029315
spambase,0.2,0.0,ipm_attack,32,89.32065217391305,89.68512486427795
spambase,0.2,0.0,ipm_attack,64,89.70108695652173,89.03365906623235
spambase,0.2,0.0,ipm_attack,128,89.59239130434783,88.38219326818675
spambase,0.3,0.01,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.3,0.1,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.3,1.0,add_noise,16,90.40760869565217,90.55374592833876
spambase,0.3,10.0,add_noise,16,90.43478260869566,90.22801302931596
spambase,0.3,100.0,add_noise,16,90.43478260869566,90.55374592833876
spambase,0.3,200.0,add_noise,16,90.35326086956522,90.22801302931596
spambase,0.3,0.01,add_noise,32,90.51630434782608,90.11943539630836
spambase,0.3,0.1,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,1.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,10.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.3,100.0,add_noise,32,90.43478260869566,90.11943539630836
spambase,0.3,200.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,0.01,add_noise,64,89.86413043478261,89.25081433224756
spambase,0.3,0.1,add_noise,64,90.0,89.35939196525516
spambase,0.3,1.0,add_noise,64,89.78260869565217,89.46796959826275
spambase,0.3,10.0,add_noise,64,89.83695652173913,89.25081433224756
spambase,0.3,100.0,add_noise,64,89.78260869565217,89.14223669923996
spambase,0.3,200.0,add_noise,64,89.86413043478261,89.35939196525516
spambase,0.3,0.01,add_noise,128,89.45652173913044,88.27361563517914
spambase,0.3,0.1,add_noise,128,89.72826086956522,88.16503800217154
spambase,0.3,1.0,add_noise,128,89.56521739130436,88.16503800217154
spambase,0.3,10.0,add_noise,128,89.56521739130436,88.27361563517914
spambase,0.3,100.0,add_noise,128,89.59239130434783,88.49077090119435
spambase,0.3,200.0,add_noise,128,89.53804347826086,88.38219326818675
spambase,0.3,0.0,ipm_attack,16,40.67934782608696,36.91639522258415
spambase,0.3,0.0,ipm_attack,32,75.19021739130434,73.9413680781759
spambase,0.3,0.0,ipm_attack,64,86.875,86.75352877307276
spambase,0.3,0.0,ipm_attack,128,88.28804347826087,88.05646036916394
spambase,0.4,0.01,add_noise,16,90.40760869565217,90.66232356134635
spambase,0.4,0.1,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.4,1.0,add_noise,16,90.48913043478261,90.33659066232356
spambase,0.4,10.0,add_noise,16,90.40760869565217,90.44516829533116
spambase,0.4,100.0,add_noise,16,90.40760869565217,90.44516829533116
spambase,0.4,200.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.4,0.01,add_noise,32,90.3804347826087,90.11943539630836
