byzantine_fraction,noise_variance,aggregation_method,baseline,epoch,train_loss,train_MSE,train_MAE,train_MAPE,train_RMSE,test_MSE,test_MAE,test_MAPE,test_RMSE
0.2,100.0,hyperbolic,False,1,0.9432858306322699,0.9328113235185079,0.7038269108989818,110.67783516976523,0.9658215795469202,1.3019032731791522,0.8226402492030331,110.803877906731,1.141009760334745
0.2,100.0,hyperbolic,False,2,0.9611939362067485,0.9223615793493863,0.6830694955353354,108.94855496569326,0.9603965739991924,1.2994806476842578,0.8052997534285138,109.40680860574264,1.1399476512911713
0.2,100.0,hyperbolic,False,3,0.9016808595717232,0.9128543195601936,0.6680776900426456,111.55137804049082,0.9554341000614295,1.293324379998947,0.792413278822813,111.6536821621432,1.1372442042054762
0.2,100.0,hyperbolic,False,4,0.9031920255309789,0.9005136031344115,0.6553381326919894,113.61462917744387,0.9489539520621701,1.279942558190533,0.7807044795180687,113.22583180133225,1.1313454636805387
0.2,100.0,hyperbolic,False,5,0.8763617409097257,0.8837086747043601,0.644053366092128,114.5581344238678,0.9400578039165252,1.2564979407274834,0.7691441640047707,113.57396904110078,1.1209361894093184
0.2,100.0,hyperbolic,False,6,0.8273044044552283,0.8592622727852002,0.6312063294292916,115.01750186802649,0.9269640083548013,1.219091368612842,0.7546846918886304,113.46696071747327,1.104124707002267
0.2,100.0,hyperbolic,False,7,0.870063303177741,0.8293535780753488,0.6176640317964147,115.41175858933947,0.9106885186908578,1.175063060822888,0.7396651519215532,113.97530309452164,1.0840032568322329
0.2,100.0,hyperbolic,False,8,0.8019476121761532,0.7931682809699918,0.6022869747756112,117.13832390378886,0.8905999556310296,1.120478261157731,0.7219850286209663,116.82523250658772,1.0585264574670445
0.2,100.0,hyperbolic,False,9,0.7258039086221535,0.7542385121929311,0.5859062403450791,120.92517660633193,0.8684690623119117,1.0604912052366222,0.7025594160027799,122.5553304492061,1.0298015368198972
0.2,100.0,hyperbolic,False,10,0.7651737979743803,0.7108656248756658,0.5685659988090782,126.80880721827053,0.8431284747152511,0.9929879579310105,0.6814130064054222,130.958319935305,0.996487811230529
0.2,100.0,hyperbolic,False,11,0.6883573272900883,0.6727834460543138,0.5523711551900089,133.97930827921508,0.820233775246005,0.9326786032625448,0.6613669436422897,140.5197304531272,0.9657528686276551
0.2,100.0,hyperbolic,False,12,0.6196347165191285,0.6405734169497111,0.5373989849942248,141.6499421410197,0.8003583053543651,0.8815993392300383,0.6429955322324412,150.5204397329533,0.9389352156725396
0.2,100.0,hyperbolic,False,13,0.6096118289768417,0.6134550818285652,0.5251106008628723,149.23392551066237,0.7832337338423092,0.8371854861763036,0.6271100714292559,160.53563162372947,0.91497840749184
0.2,100.0,hyperbolic,False,14,0.5992521312714458,0.5918888908192933,0.5143906808910244,156.56153567677248,0.7693431554379966,0.8010466866125571,0.6130731398844691,170.05656293737866,0.8950121153440087
0.2,100.0,hyperbolic,False,15,0.6048668925345779,0.5754467717537256,0.5054369886883053,163.08617867782914,0.7585820797736561,0.7729128756534274,0.6012718447200518,178.42044755976804,0.8791546369401844
0.2,100.0,hyperbolic,False,16,0.5547966384546501,0.5632427311110719,0.4984483526406307,168.42258604987956,0.750494990730166,0.7520361950742864,0.5920107901470404,185.3841870572423,0.8672002047245414
0.2,100.0,hyperbolic,False,17,0.5534582847694509,0.5544762674057595,0.4928223196876426,172.65016516546655,0.7446316320206653,0.7351130730359354,0.583953196981564,190.87445083148094,0.8573873529717682
0.2,100.0,hyperbolic,False,18,0.54571258135697,0.5469286060918157,0.4885206942307337,176.10059541789562,0.7395462163325668,0.7223904890434765,0.5779483836558355,195.58959622909634,0.8499355793490919
0.2,100.0,hyperbolic,False,19,0.5635611344059216,0.541377153735016,0.48485091214564136,178.52387145613056,0.7357833605994472,0.7121847709205663,0.5726971124019293,198.98249130298396,0.8439104045575966
0.2,100.0,hyperbolic,False,20,0.5505333488685227,0.5363316801942397,0.48165097148294245,180.6187070946192,0.7323466939873763,0.7028336887047669,0.5678870352543075,202.00563652645624,0.8383517690711739
0.2,100.0,hyperbolic,False,21,0.5212338050287739,0.5322603855943568,0.4793087124855023,181.84023610298374,0.7295617764071504,0.6946232142013924,0.5639276239427664,204.07518975892262,0.8334405882853273
0.2,100.0,hyperbolic,False,22,0.5519424893188282,0.5287058454389885,0.47686891829773564,182.85414975195442,0.7271216166770098,0.6887347241428411,0.5603894678011043,205.76353294003647,0.8299004302582575
0.2,100.0,hyperbolic,False,23,0.5394122412463076,0.5256854665822515,0.47514942021130036,183.38058828537908,0.7250416998919796,0.6831584742693143,0.5574526260286188,206.94583435439796,0.8265340127721994
0.2,100.0,hyperbolic,False,24,0.5361193899483045,0.5231789602924173,0.47341168790982574,183.45564186132592,0.7233111089236894,0.6786174799237296,0.5547571105465605,207.48736684237358,0.8237824226843697
0.2,100.0,hyperbolic,False,25,0.5374739809379538,0.5208012447387815,0.47155901031813335,183.61289946222414,0.7216656045141555,0.674561626443239,0.5521268091820801,208.04537276926592,0.8213170072774818
0.2,100.0,krum,False,1,0.9561389629320006,0.9369450422856852,0.721888324693286,120.68973330968313,0.9679592151974613,1.2941582484223018,0.8368429342726276,120.87533618891923,1.1376107631445396
0.2,100.0,krum,False,2,0.8804910914780938,0.9287275356179643,0.7060280923195946,113.19591958472527,0.963705108224484,1.2934837040500107,0.8237989983881656,113.6672577506409,1.1373142503503642
0.2,100.0,krum,False,3,0.9440734391144224,0.9227041653313927,0.6921687848300973,109.32785712302162,0.9605749139611094,1.292883651000317,0.8121160864605761,109.80038083211232,1.1370504170881417
